Year,Rnd,DT,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Name-additional
2000,1,,FrRnd,1,Marlins,Y,"$3,000,000 ",Adri?n Gonz?lez (minors),1B,43.5,1929,7139,317,0.287,0.843,,,,,,,HS,Eastlake HS (Chula Vista CA),gonzaad01
1999,1,,FrRnd,1,Devil Rays,Y,"$3,960,000 ",Josh Hamilton (minors),OF,28.2,1027,3909,200,0.29,0.865,,,,,,,HS,Athens Drive HS (Raleigh NC),hamiljo03
1998,1,,FrRnd,1,Phillies,Y,"$3,150,000 ",Pat Burrell (minors),3B,18.9,1640,5503,292,0.253,0.834,,,,,,,4Yr,University of Miami (Coral Gables FL),burrepa01
1997,1,,FrRnd,1,Tigers,Y,"$2,505,000 ",Matt Anderson (minors),RHP,-0.6,22,0,0,,,257,15,7,5.19,1.58,26,4Yr,Rice University (Houston TX),anderma01
1996,1,,FrRnd,1,Pirates,Y,"$2,000,000 ",Kris Benson (minors),RHP,12.9,165,321,1,0.131,0.337,206,70,75,4.42,1.39,0,4Yr,Clemson University (Clemson SC),bensokr01
1995,1,,FrRnd,1,Angels,Y,"$1,575,000 ",Darin Erstad (minors),OF,32.3,1654,6024,124,0.282,0.743,,,,,,,4Yr,University of Nebraska-Lincoln (Lincoln NE),erstada01
1994,1,,FrRnd,1,Mets,Y,"$1,550,000 ",Paul Wilson (minors),RHP,2,97,184,1,0.103,0.271,170,40,58,4.86,1.45,0,4Yr,Florida State University (Tallahassee FL),wilsopa02
1993,1,,FrRnd,1,Mariners,Y,"$1,000,000 ",Alex Rodriguez (minors),SS,117.6,2784,10566,696,0.295,0.93,,,,,,,HS,Westminster Christian School (Miami FL),rodrial01
1992,1,,FrRnd,1,Astros,Y,"$700,000 ",Phil Nevin (minors),3B,15.9,1217,4188,208,0.27,0.814,,,,,,,4Yr,California State University Fullerton (Fullerton CA),nevinph01
1991,1,,FrRnd,1,Yankees,Y,"$1,550,000 ",Brien Taylor (minors),LHP,,,,,,,,,,,,,HS,East Carteret HS (Beaufort NC),-9999
1990,1,,FrRnd,1,Braves,Y,"$275,000 ",Chipper Jones (minors),SS,85.3,2499,8984,468,0.303,0.93,,,,,,,HS,The Bolles School (Jacksonville FL),jonesch06
1989,1,,FrRnd,1,Orioles,Y,"$350,000 ",Ben McDonald (minors),RHP,20.8,1,1,0,0,0,211,78,70,3.91,1.26,0,4Yr,Louisiana State University (Baton Rouge LA),mcdonbe01
1988,1,,FrRnd,1,Padres,Y,"$235,000 ",Andy Benes (minors),RHP,31.5,385,741,8,0.143,0.39,403,155,139,3.97,1.31,1,4Yr,University of Evansville (Evansville IN),benesan01
1987,1,,FrRnd,1,Mariners,Y,"$160,000 ",Ken Griffey Jr. (minors),OF,83.8,2671,9801,630,0.284,0.907,,,,,,,HS,Archbishop Moeller HS (Cincinnati OH),griffke02
1986,1,,FrRnd,1,Pirates,Y,"$180,000 ",Jeff King (minors),SS,16.9,1201,4262,154,0.256,0.749,,,,,,,4Yr,University of Arkansas (Fayetteville AR),kingje01
